time;user;action;place
27-12-23 23:35:54;3l_shimizu;Left-Voice-Channel;Les Boys / OH C UN GATé
28-12-23 01:27:37;nakyss;Left-Voice-Channel;Les Boys / OH C UN GATé
28-12-23 01:27:41;nakyss;Join-Voice-Channel;Les Boys / OH C UN GATé
28-12-23 01:28:18;onizukal;Left-Voice-Channel;Les Boys / OH C UN GATé
28-12-23 01:28:22;onizukal;Join-Voice-Channel;Les Boys / OH C UN GATé
28-12-23 01:57:06;3l_shimizu;Join-Voice-Channel;Les Boys / OH C UN GATé
28-12-23 02:02:51;3l_shimizu;Left-Voice-Channel;Les Boys / OH C UN GATé
28-12-23 02:20:35;nakyss;Left-Voice-Channel;Les Boys / OH C UN GATé
28-12-23 02:30:41;onizukal;Left-Voice-Channel;Les Boys / OH C UN GATé
28-12-23 14:12:57;nakyss;Join-Voice-Channel;Les Boys / OH C UN GATé
28-12-23 15:37:38;nakyss;Left-Voice-Channel;Les Boys / OH C UN GATé
28-12-23 16:05:18;onizukal;Join-Voice-Channel;Les Boys / OH C UN GATé
28-12-23 16:13:44;nakyss;Join-Voice-Channel;Les Boys / OH C UN GATé
28-12-23 19:07:39;nakyss;Left-Voice-Channel;Les Boys / OH C UN GATé
28-12-23 19:07:42;nakyss;Join-Voice-Channel;Les Boys / OH C UN GATé
28-12-23 19:36:05;nakyss;Left-Voice-Channel;Les Boys / OH C UN GATé
28-12-23 20:43:01;nakyss;Join-Voice-Channel;Les Boys / OH C UN GATé
28-12-23 20:49:44;nakyss;Send-15-'<@471980403188695051>';Les Boys / 💬-général
28-12-23 20:54:28;3l_shimizu;Join-Voice-Channel;Les Boys / OH C UN GATé
28-12-23 20:54:52;nakyss;Send-500-'<@849010802995757067>';Les Boys / 💬-général
28-12-23 21:09:19;nakyss;Left-Voice-Channel;Les Boys / OH C UN GATé
28-12-23 21:09:21;nakyss;Join-Voice-Channel;Les Boys / OH C UN GATé
28-12-23 21:09:32;3l_shimizu;Left-Voice-Channel;Les Boys / OH C UN GATé
28-12-23 21:09:33;3l_shimizu;Join-Voice-Channel;Les Boys / OH C UN GATé
28-12-23 21:09:33;onizukal;Left-Voice-Channel;Les Boys / OH C UN GATé
28-12-23 21:09:34;onizukal;Join-Voice-Channel;Les Boys / OH C UN GATé
28-12-23 21:09:39;nakyss;Left-Voice-Channel;Les Boys / OH C UN GATé
28-12-23 21:09:45;3l_shimizu;Left-Voice-Channel;Les Boys / OH C UN GATé
28-12-23 21:09:49;3l_shimizu;Join-Voice-Channel;Les Boys / OH C UN GATé
28-12-23 21:09:53;nakyss;Join-Voice-Channel;Les Boys / OH C UN GATé
28-12-23 21:10:11;onizukal;Left-Voice-Channel;Les Boys / OH C UN GATé
28-12-23 21:10:11;onizukal;Join-Voice-Channel;Les Boys / OH C UN GATé
28-12-23 21:10:12;onizukal;Left-Voice-Channel;Les Boys / OH C UN GATé
28-12-23 21:10:13;onizukal;Join-Voice-Channel;Les Boys / OH C UN GATé
28-12-23 21:10:14;onizukal;Left-Voice-Channel;Les Boys / OH C UN GATé
28-12-23 21:10:14;onizukal;Join-Voice-Channel;Les Boys / OH C UN GATé
28-12-23 21:10:15;onizukal;Left-Voice-Channel;Les Boys / OH C UN GATé
28-12-23 21:10:16;onizukal;Join-Voice-Channel;Les Boys / OH C UN GATé
28-12-23 21:10:17;onizukal;Left-Voice-Channel;Les Boys / OH C UN GATé
28-12-23 21:10:17;onizukal;Join-Voice-Channel;Les Boys / OH C UN GATé
28-12-23 21:10:18;onizukal;Left-Voice-Channel;Les Boys / OH C UN GATé
28-12-23 21:10:19;onizukal;Join-Voice-Channel;Les Boys / OH C UN GATé
28-12-23 21:10:20;nakyss;Left-Voice-Channel;Les Boys / OH C UN GATé
28-12-23 21:10:20;onizukal;Left-Voice-Channel;Les Boys / OH C UN GATé
28-12-23 21:10:21;onizukal;Join-Voice-Channel;Les Boys / OH C UN GATé
